Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
23.74.9.198_BLOCK		All	Yes	Block	No	Any	Any	23.74.9.198	Any	Any	Any	Any	Any	Any	Any	
23.74.9.217_BLOCK		All	Yes	Block	No	Any	Any	23.74.9.217	Any	Any	Any	Any	Any	Any	Any	
23.9.123.27_BLOCK		All	Yes	Block	No	Any	Any	23.9.123.27	Any	Any	Any	Any	Any	Any	Any	
23.96.212.225_BLOCK		All	Yes	Block	No	Any	Any	23.96.212.225	Any	Any	Any	Any	Any	Any	Any	
23.99.10.11_BLOCK		All	Yes	Block	No	Any	Any	23.99.10.11	Any	Any	Any	Any	Any	Any	Any	
40.117.145.132_BLOCK		All	Yes	Block	No	Any	Any	40.117.145.132	Any	Any	Any	Any	Any	Any	Any	
64.4.23.0-64.4.23.255_BLOCK		All	Yes	Block	No	Any	Any	64.4.23.0-64.4.23.255	Any	Any	Any	Any	Any	Any	Any	
64.4.54.153_BLOCK		All	Yes	Block	No	Any	Any	64.4.54.153	Any	Any	Any	Any	Any	Any	Any	
64.4.54.22_BLOCK		All	Yes	Block	No	Any	Any	64.4.54.22	Any	Any	Any	Any	Any	Any	Any	
64.4.54.253_BLOCK		All	Yes	Block	No	Any	Any	64.4.54.253	Any	Any	Any	Any	Any	Any	Any	
64.4.54.254_BLOCK		All	Yes	Block	No	Any	Any	64.4.54.254	Any	Any	Any	Any	Any	Any	Any	
64.4.54.32_BLOCK		All	Yes	Block	No	Any	Any	64.4.54.32	Any	Any	Any	Any	Any	Any	Any	
64.4.6.100_BLOCK		All	Yes	Block	No	Any	Any	64.4.6.100	Any	Any	Any	Any	Any	Any	Any	
65.39.117.230_BLOCK		All	Yes	Block	No	Any	Any	65.39.117.230	Any	Any	Any	Any	Any	Any	Any	
65.52.100.11_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.11	Any	Any	Any	Any	Any	Any	Any	
65.52.100.7_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.7	Any	Any	Any	Any	Any	Any	Any	
65.52.100.9_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.9	Any	Any	Any	Any	Any	Any	Any	
65.52.100.91_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.91	Any	Any	Any	Any	Any	Any	Any	
65.52.100.92_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.92	Any	Any	Any	Any	Any	Any	Any	
65.52.100.93_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.93	Any	Any	Any	Any	Any	Any	Any	
65.52.100.94_BLOCK		All	Yes	Block	No	Any	Any	65.52.100.94	Any	Any	Any	Any	Any	Any	Any	
65.52.108.103_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.103	Any	Any	Any	Any	Any	Any	Any	
65.52.108.153_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.153	Any	Any	Any	Any	Any	Any	Any	
65.52.108.154_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.154	Any	Any	Any	Any	Any	Any	Any	
65.52.108.252_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.252	Any	Any	Any	Any	Any	Any	Any	
65.52.108.27_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.27	Any	Any	Any	Any	Any	Any	Any	
65.52.108.29_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.29	Any	Any	Any	Any	Any	Any	Any	
65.52.108.33_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.33	Any	Any	Any	Any	Any	Any	Any	
65.52.108.92_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.92	Any	Any	Any	Any	Any	Any	Any	
65.52.108.94_BLOCK		All	Yes	Block	No	Any	Any	65.52.108.94	Any	Any	Any	Any	Any	Any	Any	
65.52.161.64_BLOCK		All	Yes	Block	No	Any	Any	65.52.161.64	Any	Any	Any	Any	Any	Any	Any	
65.52.236.160_BLOCK		All	Yes	Block	No	Any	Any	65.52.236.160	Any	Any	Any	Any	Any	Any	Any	
65.55.108.23_BLOCK		All	Yes	Block	No	Any	Any	65.55.108.23	Any	Any	Any	Any	Any	Any	Any	
65.55.113.13_BLOCK		All	Yes	Block	No	Any	Any	65.55.113.13	Any	Any	Any	Any	Any	Any	Any	
65.55.130.50_BLOCK		All	Yes	Block	No	Any	Any	65.55.130.50	Any	Any	Any	Any	Any	Any	Any	
65.55.138.110_BLOCK		All	Yes	Block	No	Any	Any	65.55.138.110	Any	Any	Any	Any	Any	Any	Any	
65.55.138.186_BLOCK		All	Yes	Block	No	Any	Any	65.55.138.186	Any	Any	Any	Any	Any	Any	Any	
65.55.176.90_BLOCK		All	Yes	Block	No	Any	Any	65.55.176.90	Any	Any	Any	Any	Any	Any	Any	
65.55.223.0-65.55.223.255_BLOCK		All	Yes	Block	No	Any	Any	65.55.223.0-65.55.223.255	Any	Any	Any	Any	Any	Any	Any	
65.55.252.190_BLOCK		All	Yes	Block	No	Any	Any	65.55.252.190	Any	Any	Any	Any	Any	Any	Any	
65.55.252.43_BLOCK		All	Yes	Block	No	Any	Any	65.55.252.43	Any	Any	Any	Any	Any	Any	Any	
65.55.252.63_BLOCK		All	Yes	Block	No	Any	Any	65.55.252.63	Any	Any	Any	Any	Any	Any	Any	
65.55.252.71_BLOCK		All	Yes	Block	No	Any	Any	65.55.252.71	Any	Any	Any	Any	Any	Any	Any	
65.55.252.92_BLOCK		All	Yes	Block	No	Any	Any	65.55.252.92	Any	Any	Any	Any	Any	Any	Any	
65.55.252.93_BLOCK		All	Yes	Block	No	Any	Any	65.55.252.93	Any	Any	Any	Any	Any	Any	Any	
65.55.29.238_BLOCK		All	Yes	Block	No	Any	Any	65.55.29.238	Any	Any	Any	Any	Any	Any	Any	
65.55.39.10_BLOCK		All	Yes	Block	No	Any	Any	65.55.39.10	Any	Any	Any	Any	Any	Any	Any	
65.55.44.108_BLOCK		All	Yes	Block	No	Any	Any	65.55.44.108	Any	Any	Any	Any	Any	Any	Any	
65.55.44.109_BLOCK		All	Yes	Block	No	Any	Any	65.55.44.109	Any	Any	Any	Any	Any	Any	Any	
65.55.83.120_BLOCK		All	Yes	Block	No	Any	Any	65.55.83.120	Any	Any	Any	Any	Any	Any	Any	
66.119.144.189_BLOCK		All	Yes	Block	No	Any	Any	66.119.144.189	Any	Any	Any	Any	Any	Any	Any	
66.119.147.131_BLOCK		All	Yes	Block	No	Any	Any	66.119.147.131	Any	Any	Any	Any	Any	Any	Any	
77.67.29.176_BLOCK		All	Yes	Block	No	Any	Any	77.67.29.176	Any	Any	Any	Any	Any	Any	Any	
8.254.209.254_BLOCK		All	Yes	Block	No	Any	Any	8.254.209.254	Any	Any	Any	Any	Any	Any	Any	
94.245.121.251_BLOCK		All	Yes	Block	No	Any	Any	94.245.121.251	Any	Any	Any	Any	Any	Any	Any	
94.245.121.253_BLOCK		All	Yes	Block	No	Any	Any	94.245.121.253	Any	Any	Any	Any	Any	Any	Any	
94.245.121.254_BLOCK		All	Yes	Block	No	Any	Any	94.245.121.254	Any	Any	Any	Any	Any	Any	Any	
Akamai Technologies SVCHOST_BLOCK		All	Yes	Block	No	C:\WINDOWS\System32\svchost.exe	Any	92.122.212.0-92.122.219.255, 92.123.96.0-92.123.111.255, 95.100.0.0-95.100.15.255, 23.32.0.0-23.67.255.255	Any	Any	Any	Any	Any	Any	Any	
backgroundTaskHost.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\backgroundTaskHost.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
backgroundTaskHost.exe-SysWOW64_BLOCK		All	Yes	Block	No	C:\Windows\SysWOW64\backgroundTaskHost.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
BackgroundTransferHost.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\BackgroundTransferHost.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
BackgroundTransferHost.exe-SysWOW64_BLOCK		All	Yes	Block	No	C:\Windows\SysWOW64\BackgroundTransferHost.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
browser_broker.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\browser_broker.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
CompatTelRunner.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\CompatTelRunner.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
dmclient.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\dmclient.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
EXCEL.EXE_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\EXCEL.EXE	Any	Any	Any	Any	Any	Any	Any	Any	Any	
explorer.exe_BLOCK		All	Yes	Block	No	C:\Windows\explorer.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
lsass.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\lsass.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
Microsoft Internet Data Center SVCHOST_BLOCK		All	Yes	Block	No	C:\WINDOWS\System32\svchost.exe	Any	213.199.160.0-213.199.191.255	Any	Any	Any	Any	Any	Any	Any	
Microsoft Limited SVCHOST_BLOCK		All	Yes	Block	No	C:\WINDOWS\System32\svchost.exe	Any	94.245.64.0-94.245.127.255	Any	Any	Any	Any	Any	Any	Any	
MicrosoftEdge.exe_BLOCK		All	Yes	Block	No	C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
MSACCESS.EXE_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\MSACCESS.EXE	Any	Any	Any	Any	Any	Any	Any	Any	Any	
msfeedssync.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\msfeedssync.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
msfeedssync.exe-SysWOW64_BLOCK		All	Yes	Block	No	C:\Windows\SysWOW64\msfeedssync.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
msoia.exe_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\msoia.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
MSOSYNC.EXE_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\MSOSYNC.EXE	Any	Any	Any	Any	Any	Any	Any	Any	Any	
MSOUC.EXE_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\MSOUC.EXE	Any	Any	Any	Any	Any	Any	Any	Any	Any	
MSPUB.EXE_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\MSPUB.EXE	Any	Any	Any	Any	Any	Any	Any	Any	Any	
POWERPNT.EXE_BLOCK		All	Yes	Block	No	C:\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE	Any	Any	Any	Any	Any	Any	Any	Any	Any	
rundll32.exe_BLOCK		All	Yes	Block	No	C:\Windows\System32\rundll32.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
rundll32.exe-SysWOW64_BLOCK		All	Yes	Block	No	C:\Windows\SysWOW64\rundll32.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	
